"Wall Vs Duct","Level 1_Basic Wall","(162.8175473107951348, -14.7710580825805664, 8.1337652206420898)","24-Oct-18 3:00:52 AM","New","14"
"Wall Vs Duct","Level 1_Basic Wall","(-15.1998119354248047, 5.2558927536010742, 10.2884039967663128)","24-Oct-18 3:00:52 AM","New","10"
"Wall Vs Duct","Level 2_Basic Wall","(-14.8223218917846680, 7.6378754421964974, 22.2145671844482422)","24-Oct-18 3:00:52 AM","New","8"
"Wall Vs Duct","Level 2_Basic Wall","(105.8734450589770830, -14.7710580825805664, 22.2145671844482422)","24-Oct-18 3:00:52 AM","New","11"
"Wall Vs Duct","Level 3_Basic Wall","(40.3352241516113281, 106.4805831909179688, 33.5432099460747608)","24-Oct-18 3:00:52 AM","New","10"
"Wall Vs Duct","Level 3_Basic Wall","(97.5581559772409292, -14.7710580825805664, 33.7795257568359375)","24-Oct-18 3:00:52 AM","New","10"
"Wall Vs Duct","Level 3_Basic Wall","(-15.1996183395385742, -0.3322510570287704, 33.6853546958874475)","24-Oct-18 3:00:52 AM","New","11"
"Floor vs Duct","Level 1_Floor","(67.5429312971702274, 130.4041520959587785, 11.4829397201538086)","24-Oct-18 3:00:52 AM","New","15"
"Floor vs Duct","Level 2_Floor","(164.1018981933593750, -17.2266776243609527, 23.9501304626464844)","24-Oct-18 3:00:52 AM","New","137"
"Floor vs Duct","Level 2_Floor","(163.7738189697265625, -17.2983324942867185, 12.4671916961669922)","24-Oct-18 3:00:52 AM","New","2"
"Floor vs Duct","Level 2_Floor","(162.4614868164062500, -17.5396885804020357, 12.9593172073364258)","24-Oct-18 3:00:52 AM","New","2"
"Floor vs Duct","Level 3_Floor","(164.1018981933593750, -18.6826419830322266, 34.7769012451171875)","24-Oct-18 3:00:52 AM","New","35"
